id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,8444,ORANG,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3191,ORANG,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3010,ORANG,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5202,ORANG,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,2711,ORANG,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1683,ORANG,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1354,ORANG,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2060,ORANG,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,3172,ORANG,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1583,ORANG,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1845,ORANG,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1566,ORANG,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,545,ORANG,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,834,ORANG,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1887,ORANG,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,1738,ORANG,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1392,ORANG,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,374,ORANG,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,1363,ORANG,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,601,ORANG,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,2545,ORANG,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,1331,ORANG,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,3537,ORANG,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,2823,ORANG,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,663,ORANG,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1428,ORANG,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,365,ORANG,2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,3831,ORANG,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2350,ORANG,2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1393,ORANG,2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,ORANG,2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,1494,ORANG,2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1073,ORANG,2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,978,ORANG,2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,860,ORANG,2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,1889,ORANG,2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1162,ORANG,2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,726,ORANG,2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,816,ORANG,2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,1187,ORANG,2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,538,ORANG,2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1060,ORANG,2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,1050,ORANG,2017
