id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_keberhasilan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,6709,ORANG,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,5270,ORANG,2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,2233,ORANG,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,1765,ORANG,2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,2174,ORANG,2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,2096,ORANG,2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,3119,ORANG,2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,2933,ORANG,2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,1385,ORANG,2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,1205,ORANG,2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,1140,ORANG,2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,832,ORANG,2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,930,ORANG,2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,608,ORANG,2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,1162,ORANG,2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,901,ORANG,2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,2426,ORANG,2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,1719,ORANG,2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,876,ORANG,2019
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,645,ORANG,2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,855,ORANG,2019
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,728,ORANG,2019
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,1134,ORANG,2019
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,729,ORANG,2019
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,1380,ORANG,2019
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,1079,ORANG,2019
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,647,ORANG,2019
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,563,ORANG,2019
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,1790,ORANG,2019
