id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kematian,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,173,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,13,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,26,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,153,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,44,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,78,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,33,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,59,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,104,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,57,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,72,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,58,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,55,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,21,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,34,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,83,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,22,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,187,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,11,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,64,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,76,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,11,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,41,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,3,ORANG,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,173,ORANG,2020
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,5,ORANG,2020
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,20,ORANG,2020
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,148,ORANG,2020
