id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,44799,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,28665,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,14867,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,22104,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,17700,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,11283,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3990,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10486,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,15250,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,10917,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5735,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,7491,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,16512,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5048,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8994,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,9808,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8176,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,989,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,9374,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,5066,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,33521,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,6532,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,17947,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,10382,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,7883,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5779,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,2650,ORANG,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,28495,ORANG,2020
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12102,ORANG,2020
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12060,ORANG,2020
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,17322,ORANG,2020
32,32,JAWA BARAT,3205,KABUPATEN GARUT,15496,ORANG,2020
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7515,ORANG,2020
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7226,ORANG,2020
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7418,ORANG,2020
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,9107,ORANG,2020
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,8522,ORANG,2020
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4172,ORANG,2020
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4238,ORANG,2020
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,13359,ORANG,2020
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,6472,ORANG,2020
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11419,ORANG,2020
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,8969,ORANG,2020
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6089,ORANG,2020
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1159,ORANG,2020
46,32,JAWA BARAT,3271,KOTA BOGOR,3777,ORANG,2020
47,32,JAWA BARAT,3272,KOTA SUKABUMI,3371,ORANG,2020
48,32,JAWA BARAT,3273,KOTA BANDUNG,22261,ORANG,2020
49,32,JAWA BARAT,3274,KOTA CIREBON,6510,ORANG,2020
50,32,JAWA BARAT,3275,KOTA BEKASI,13142,ORANG,2020
51,32,JAWA BARAT,3276,KOTA DEPOK,8573,ORANG,2020
52,32,JAWA BARAT,3277,KOTA CIMAHI,5184,ORANG,2020
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4296,ORANG,2020
54,32,JAWA BARAT,3279,KOTA BANJAR,642,ORANG,2020
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,29884,ORANG,2021
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12479,ORANG,2021
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11843,ORANG,2021
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,19392,ORANG,2021
59,32,JAWA BARAT,3205,KABUPATEN GARUT,24246,ORANG,2021
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12050,ORANG,2021
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9931,ORANG,2021
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6119,ORANG,2021
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,10266,ORANG,2021
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12751,ORANG,2021
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3474,ORANG,2021
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4884,ORANG,2021
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,12650,ORANG,2021
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,9781,ORANG,2021
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,15136,ORANG,2021
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,10134,ORANG,2021
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6517,ORANG,2021
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2250,ORANG,2021
73,32,JAWA BARAT,3271,KOTA BOGOR,9778,ORANG,2021
74,32,JAWA BARAT,3272,KOTA SUKABUMI,3371,ORANG,2021
75,32,JAWA BARAT,3273,KOTA BANDUNG,24312,ORANG,2021
76,32,JAWA BARAT,3274,KOTA CIREBON,7874,ORANG,2021
77,32,JAWA BARAT,3275,KOTA BEKASI,16318,ORANG,2021
78,32,JAWA BARAT,3276,KOTA DEPOK,12588,ORANG,2021
79,32,JAWA BARAT,3277,KOTA CIMAHI,6461,ORANG,2021
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5092,ORANG,2021
81,32,JAWA BARAT,3279,KOTA BANJAR,2101,ORANG,2021
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,73699,ORANG,2022
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,24043,ORANG,2022
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,21993,ORANG,2022
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,46919,ORANG,2022
86,32,JAWA BARAT,3205,KABUPATEN GARUT,34606,ORANG,2022
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,19756,ORANG,2022
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,15932,ORANG,2022
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12805,ORANG,2022
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,31312,ORANG,2022
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,22148,ORANG,2022
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12346,ORANG,2022
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11860,ORANG,2022
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,22066,ORANG,2022
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14187,ORANG,2022
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,26332,ORANG,2022
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,22957,ORANG,2022
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,19111,ORANG,2022
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6231,ORANG,2022
100,32,JAWA BARAT,3271,KOTA BOGOR,24572,ORANG,2022
101,32,JAWA BARAT,3272,KOTA SUKABUMI,7475,ORANG,2022
102,32,JAWA BARAT,3273,KOTA BANDUNG,46792,ORANG,2022
103,32,JAWA BARAT,3274,KOTA CIREBON,12662,ORANG,2022
104,32,JAWA BARAT,3275,KOTA BEKASI,43020,ORANG,2022
105,32,JAWA BARAT,3276,KOTA DEPOK,26097,ORANG,2022
106,32,JAWA BARAT,3277,KOTA CIMAHI,13835,ORANG,2022
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11454,ORANG,2022
108,32,JAWA BARAT,3279,KOTA BANJAR,3271,ORANG,2022
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,82014,ORANG,2023
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,28796,ORANG,2023
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,25841,ORANG,2023
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,40757,ORANG,2023
