id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,2035,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1015,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1122,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2387,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,507,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,234,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,79,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,201,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,407,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,256,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,457,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,530,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,762,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,488,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,394,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,334,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,342,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,16,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,537,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,313,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,3530,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,195,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,968,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,500,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,860,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,113,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,43,ORANG,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,897,ORANG,2020
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,374,ORANG,2020
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,817,ORANG,2020
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1611,ORANG,2020
32,32,JAWA BARAT,3205,KABUPATEN GARUT,534,ORANG,2020
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,88,ORANG,2020
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,217,ORANG,2020
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,144,ORANG,2020
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,229,ORANG,2020
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,224,ORANG,2020
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,168,ORANG,2020
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,229,ORANG,2020
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,654,ORANG,2020
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,368,ORANG,2020
